method,degradation,degraded_cosine,restored_cosine,gain,num_samples
A5,blur,0.9913953507784754,0.9928329605609179,0.00044269044883549213,256
A5,haze,0.7957916457053216,0.9365800096275052,0.12024935653971625,256
A5,inpainting,0.9023649689625017,0.9978094978723675,0.08671081002103165,256
A5,lowlight,0.921722698258236,0.9859480918385088,0.05555359146092087,256
A5,noise,0.9689115355722606,0.9974384419620037,0.023449439322575927,256
A5,rain,0.9903962819371372,0.99731859494932,0.005286572501063347,256
A5,snow,0.6164573546211614,0.9379540356676443,0.30019926160275645,256
Restormer,blur,0.9913953507784754,0.9943403063807636,0.0015897259581834078,256
Restormer,haze,0.7957916457053216,0.9229788886004826,0.10794602211171878,256
Restormer,inpainting,0.9023649689625017,0.9981448790058494,0.08755672589177266,256
Restormer,lowlight,0.921722698258236,0.9693392685148865,0.04099095624405891,256
Restormer,noise,0.9689115355722606,0.9970267449971288,0.0230951604899019,256
Restormer,rain,0.9903962819371372,0.9952011615969241,0.0035118439700454473,256
Restormer,snow,0.6164573546211614,0.9321486950939288,0.29553327126450313,256
DehazeFormer,blur,0.9913953507784754,0.9904142526211217,-0.0019401520257815719,256
DehazeFormer,haze,0.7957916457053216,0.9121924258706713,0.09917642782420444,256
DehazeFormer,inpainting,0.9023649689625017,0.9992315506096929,0.08847085322486237,256
DehazeFormer,lowlight,0.921722698258236,0.9791403317358345,0.05014510767068714,256
DehazeFormer,noise,0.9689115355722606,0.9980085878632963,0.02355680614709854,256
DehazeFormer,rain,0.9903962819371372,0.9884149273857474,-0.0019746925681829453,256
DehazeFormer,snow,0.6164573546211614,0.9337299333419651,0.29945933714589046,256
